#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
17.63775,15.83494,15.08432,14.71572,14.44097,1.802811,0.750618,0.3685999,0.2747507,GALAXY,BROADLINE,0.04017584,55186,1,1,0,0,122.539448203139,47.0019244611687
19.35229,17.45298,16.59878,16.20042,15.86189,1.899305,0.8542023,0.3983574,0.3385315,GALAXY,BROADLINE,0.06690758,51988,1,1,0,0,199.758926698697,66.4836938934216
21.92003,19.78879,18.06842,17.47548,17.19339,2.131237,1.720369,0.592947,0.2820892,GALAXY,BROADLINE,0.3317592,51988,1,1,0,0,200.286522011707,66.477183631632
22.33386,19.8842,18.38346,17.79017,17.41185,2.449663,1.500738,0.5932884,0.3783207,GALAXY,BROADLINE,0.2944495,56008,1,1,0,0,148.98513121854,63.0332014292126
17.50771,15.69462,14.86125,14.42255,14.09133,1.813091,0.8333712,0.4387007,0.3312159,GALAXY,BROADLINE,0.06346408,51883,1,1,0,0,128.342966092494,53.8322624107379
21.86942,20.01768,18.24959,17.58993,17.16124,1.851738,1.768091,0.6596622,0.4286823,GALAXY,BROADLINE,0.3833624,51694,1,1,0,0,259.901509136197,62.7030783043687
20.5829,18.66133,17.38427,16.84709,16.50141,1.921576,1.277058,0.537178,0.3456802,GALAXY,BROADLINE,0.2026434,51885,1,1,0,0,124.123047355568,49.4712395537873
18.80166,16.73989,15.83528,15.41636,15.10098,2.061771,0.9046097,0.4189224,0.3153763,GALAXY,BROADLINE,0.06516977,51988,1,1,0,0,200.09817247509,66.2770418717992
18.36591,16.38652,15.48786,15.08116,14.75915,1.979395,0.8986568,0.406703,0.3220081,GALAXY,BROADLINE,0.07778037,52024,1,1,0,0,182.585899969309,2.1354822896075
21.91724,20.45741,18.55024,17.86066,17.45742,1.459826,1.907167,0.6895847,0.4032421,GALAXY,BROADLINE,0.417296,51910,1,1,0,0,151.722680369003,0.59140314845479
17.09568,15.16259,14.26315,13.73688,13.23439,1.933097,0.899435,0.5262728,0.5024853,GALAXY,BROADLINE,0.02760981,52023,1,1,0,0,218.694499089656,3.341581038408
20.10794,18.04034,16.94776,16.47595,16.09521,2.067598,1.092581,0.4718113,0.3807468,GALAXY,BROADLINE,0.1408027,52206,1,1,0,0,332.29253277388,-8.17611771627536
18.23622,16.22398,15.26827,14.85352,14.54637,2.012238,0.9557095,0.414752,0.3071461,GALAXY,BROADLINE,0.08344436,52228,1,1,0,0,338.285806800591,-10.1425717033042
16.85634,15.01884,14.20362,13.80229,13.47895,1.837501,0.8152208,0.4013329,0.3233395,GALAXY,BROADLINE,0.03217424,52228,1,1,0,0,338.39171162321,-10.182672730975
17.92985,16.22573,15.49752,15.16854,14.8799,1.704111,0.7282104,0.3289843,0.2886419,GALAXY,BROADLINE,0.04593917,52162,1,1,0,0,10.3830303668278,-9.33398372676821
17.51118,15.57267,14.68539,14.26729,13.94533,1.93851,0.8872786,0.4181004,0.3219585,GALAXY,BROADLINE,0.05778922,52162,1,1,0,0,10.4590605220688,-9.42984288545862
18.19856,16.29364,15.41875,15.01776,14.6775,1.904922,0.874896,0.4009895,0.3402615,GALAXY,BROADLINE,0.07075718,51924,1,1,0,0,49.0902345645471,-7.21220987426579
18.56861,16.48607,15.49555,15.03562,14.70373,2.082541,0.9905167,0.4599361,0.3318872,GALAXY,BROADLINE,0.0759143,56602,1,1,0,0,358.956378418128,-9.39849943039247
19.10546,17.12914,16.20601,15.76219,15.42443,1.976315,0.92313,0.4438257,0.3377523,GALAXY,BROADLINE,0.07077757,51924,1,1,0,0,49.0918633859894,-6.74959736723249
22.60112,20.3356,18.73624,18.0427,17.6345,2.265516,1.599361,0.6935444,0.4081993,GALAXY,BROADLINE,0.4235708,52226,1,1,0,0,358.697909862329,15.2144882071371
19.56501,17.73717,16.86823,16.46228,16.15896,1.827839,0.8689384,0.4059544,0.3033123,GALAXY,BROADLINE,0.08361755,52138,1,1,0,0,4.96925884554534,-9.68714027455387
18.14133,16.21069,15.37921,14.97616,14.64754,1.930647,0.8314781,0.4030437,0.3286238,GALAXY,BROADLINE,0.05331541,52162,1,1,0,0,10.3690332411596,-9.57410855721431
17.0024,15.90013,15.08858,14.71301,14.40611,1.102274,0.8115444,0.3755722,0.3069057,GALAXY,BROADLINE,0.1030583,52146,1,1,0,0,14.0836595514141,-9.60828536133806
16.07888,14.37256,13.62233,13.19458,12.87845,1.706328,0.7502213,0.4277582,0.3161221,GALAXY,BROADLINE,0.02331519,52138,1,1,0,0,4.49742533580859,-9.27216440685244
20.21263,18.04452,16.89631,16.40798,16.04363,2.168104,1.148211,0.4883308,0.3643456,GALAXY,BROADLINE,0.1665354,51910,1,1,0,0,42.3000971826262,-9.02284762784358
16.72257,14.87821,14.05671,13.64387,13.3217,1.84436,0.8215008,0.4128332,0.3221684,GALAXY,BROADLINE,0.03300101,51901,1,1,0,0,43.055104436316,-6.76491066733341
17.64346,15.65625,14.75271,14.32078,13.99876,1.987206,0.9035463,0.4319315,0.3220205,GALAXY,BROADLINE,0.06455743,52202,1,1,0,0,121.529605883364,39.3424333029902
18.85218,16.96919,16.07314,15.61701,15.26501,1.882996,0.8960476,0.4561243,0.352005,GALAXY,BROADLINE,0.06387538,55539,1,1,0,0,114.960689415372,34.9600770504866
