#Table1
u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
19.18734,17.82179,17.07957,16.64346,16.37434,1.365553,0.7422199,0.4361076,0.2691231,GALAXY,STARFORMING,0.12008,52326,1,1,0,0,190.09209769392,1.35132059393565
18.28628,16.80293,15.97311,15.54526,15.24554,1.483341,0.8298206,0.4278526,0.2997255,GALAXY,STARFORMING,0.1199603,52326,1,1,0,0,190.106255799047,1.32586716034468
19.53064,18.31487,17.37711,16.92028,16.70764,1.215767,0.9377575,0.4568329,0.2126427,GALAXY,STARFORMING,0.2011246,52326,1,1,0,0,190.125323773905,1.29709624042018
19.39932,18.17102,17.61866,17.22068,17.05358,1.2283,0.5523529,0.3979855,0.1671009,GALAXY,STARFORMING,0.07447824,52326,1,1,0,0,189.962492988214,1.70285917199582
18.54135,17.27856,16.66409,16.31719,16.06024,1.262787,0.6144772,0.3468933,0.2569542,GALAXY,STARFORMING,0.07713795,52326,1,1,0,0,189.983014211397,1.80778694148009
19.09788,17.43487,16.50861,16.05202,15.71467,1.663006,0.9262676,0.4565907,0.3373499,GALAXY,STARFORMING,0.09423862,52326,1,1,0,0,189.987179313987,2.1818398872007
19.23268,18.06046,17.44635,17.09247,16.86919,1.172211,0.6141129,0.3538818,0.2232761,GALAXY,STARFORMING,0.07856267,52326,1,1,0,0,190.089978749312,2.15806718581111
19.59718,18.13027,17.36887,17.01034,16.71807,1.466909,0.7614059,0.3585281,0.2922649,GALAXY,STARFORMING,0.1235927,52206,1,1,0,0,335.845511813283,-9.6654009924393
18.80997,17.43256,16.65392,16.23665,15.93539,1.377407,0.7786388,0.4172764,0.3012562,GALAXY,STARFORMING,0.1328284,52206,1,1,0,0,335.968423387832,-9.61467585076831
18.94932,17.51055,16.7887,16.40946,16.15613,1.438778,0.7218418,0.3792477,0.2533245,GALAXY,STARFORMING,0.08367305,52206,1,1,0,0,336.31844538954,-9.75155223513918
19.38566,17.74825,17.05098,16.65102,16.33537,1.637405,0.6972752,0.3999538,0.315649,GALAXY,STARFORMING,0.06705241,52206,1,1,0,0,336.490502243911,-9.81541123915327
