u,g,r,i,z,u-g,g-r,r-i,i-z,class,subClass,redshift,mjd,clean,mode,zWarning,probPSF,ra,dec
21.3207,19.96194,19.47649,19.27762,19.13141,1.358763,0.4854469,0.198864,0.1462154,STAR,F9,-5.482241e-05,54416,1,1,0,1,112.807461125273,14.7077448541245
20.97147,19.40827,18.8096,18.60499,18.50447,1.5632,0.5986729,0.2046013,0.1005192,STAR,K1,-8.397162e-05,54595,1,1,0,1,242.726990593024,16.9945624108902
15.27345,14.1283,13.98594,14.01371,14.0833,1.145146,0.1423645,-0.02777386,-0.06958199,STAR,F9,0.0002168969,53401,1,1,0,1,83.0090322271312,-0.571245814375935
19.95471,19.06302,18.79701,18.6996,18.6932,0.8916912,0.2660084,0.09740829,0.006397247,STAR,F3/F5V (30743),-0.0002760089,55653,1,1,0,1,161.824753269205,43.9405591234933
20.07398,19.16441,18.90061,18.77998,18.68684,0.9095669,0.2638016,0.1206341,0.09313583,STAR,B3II (175156),-0.001045495,56667,1,1,0,1,179.640751505694,68.4758425771006
20.4654,19.45495,19.15269,18.93714,18.91178,1.01045,0.3022594,0.2155533,0.02535629,STAR,F2,8.410158e-05,51816,1,1,0,1,33.655365702454,1.15913953119506
20.57362,19.54112,19.19072,19.07142,19.00241,1.032492,0.3504066,0.1192989,0.06900597,STAR,F5,-0.0007618785,52520,1,1,0,1,15.4236097958625,0.216275057337506
18.10885,18.21906,18.67017,19.00867,19.27691,-0.1102028,-0.4511166,-0.338501,-0.2682381,STAR,WDhotter,8.652652e-06,56624,1,1,0,1,152.768323178526,56.6019883011775
18.69671,17.84941,17.64708,17.57106,17.55926,0.8473034,0.2023258,0.07601738,0.01180077,STAR,A2II (39866),0.000183485,55621,1,1,0,1,217.630809826944,0.163902111394932
20.69165,19.47038,19.11538,18.94581,18.96327,1.221277,0.3549938,0.1695709,-0.01745796,STAR,F9,-0.000499666,54825,1,1,0,1,8.58871046698742,-10.4821557054296
19.94382,18.33078,17.61683,17.33513,17.212,1.613033,0.7139568,0.2816982,0.1231232,STAR,K3,0.0002889172,54497,1,1,0,1,117.450091140135,18.4967779838555
20.66737,19.37205,18.86761,18.7424,18.62331,1.295324,0.5044384,0.1252098,0.1190834,STAR,F9,-0.0008155747,54379,1,1,0,1,341.521117362547,30.3510089199455
19.0117,18.10382,17.82886,17.69957,17.66441,0.9078827,0.2749634,0.1292839,0.03516769,STAR,F3/F5V (30743),-0.0006591599,56986,1,1,0,1,34.5160236294442,-2.92361186552896
24.12227,21.52435,20.99018,20.70335,20.58962,2.597923,0.5341721,0.286829,0.1137276,STAR,K0V (10780),0.0008738007,55486,1,1,0,1,118.741675680031,32.2341491924032
20.925,19.39425,18.85068,18.66747,18.68082,1.53075,0.5435658,0.1832047,-0.01334763,STAR,F9,-9.218838e-05,52932,1,1,0,1,312.011617506502,0.298742431812911
21.09585,20.01862,19.75149,19.67691,19.71751,1.077225,0.2671337,0.07457733,-0.04060173,STAR,F2,5.410263e-05,52263,1,1,0,1,71.802769226632,-1.11388708798587
22.87442,21.99677,20.18036,18.8739,18.11581,0.877655,1.81641,1.306458,0.7580872,STAR,M5III (221615),0.0001910692,55663,1,1,0,0,229.957975223629,24.7012909041863
19.3307,17.98487,17.48981,17.30497,17.25741,1.345827,0.4950676,0.1848335,0.04756165,STAR,F9,-0.0001695613,54481,1,1,0,1,118.539243644508,83.4752558022972
21.18156,20.40891,20.319,20.32105,20.23516,0.7726555,0.08990288,-0.0020504,0.08589935,STAR,A8V (155514),0.0008409898,55649,1,1,0,1,162.138082489723,3.29493900486392
20.49459,19.00753,18.52049,18.3346,18.27796,1.487061,0.4870396,0.1858959,0.05664063,STAR,F9,-0.0001923969,54971,1,1,0,1,223.158745255048,21.7025117416435
17.79373,16.77971,16.46723,16.36114,16.34583,1.014023,0.3124752,0.1060925,0.01530266,STAR,F5,-0.0001005676,53383,1,1,0,1,160.407594401519,29.5475935118624
20.63861,19.57786,19.45086,19.49761,19.55345,1.060755,0.126997,-0.04674911,-0.05584335,STAR,A0,-0.0001489046,54153,1,1,0,1,184.631840842999,0.219938435408951
18.67003,16.88035,16.27655,16.06653,15.96094,1.789686,0.6037979,0.2100163,0.1055918,STAR,K3,-1.696058e-05,54084,1,1,0,1,80.0289886529993,17.2011316236014
23.22774,20.35057,18.90674,18.08039,17.55661,2.877167,1.44383,0.8263531,0.5237827,STAR,M1,0.0001133574,52669,1,1,0,1,134.317518878555,39.2914396909848
20.37594,19.47714,19.07471,18.92918,18.91791,0.8988037,0.4024277,0.1455345,0.01126862,STAR,F5,-0.0005712227,52531,1,1,0,1,17.5006399360883,1.06993936597841
20.4584,19.57375,19.28331,19.19157,19.20274,0.8846569,0.2904339,0.09173965,-0.01116753,STAR,F2V (33256),-0.0007155819,56206,1,1,0,1,350.326570912432,16.37971895159
18.15279,17.18899,17.05289,17.03088,17.06185,0.9637928,0.1360989,0.02201462,-0.03097343,STAR,A0,-0.0005874981,53289,1,1,0,1,323.804592846686,10.6367581114669
18.99691,18.09309,17.82427,17.72641,17.67386,0.9038239,0.2688179,0.09785652,0.05255508,STAR,A2II (39866),-0.0002610968,55514,1,1,0,1,29.0516340877486,5.82262635826184
20.43537,19.2624,19.00562,18.94741,18.91038,1.17297,0.2567768,0.05820847,0.03703308,STAR,F5,0.0002915615,52964,1,1,0,1,131.493313888547,7.7327569368849
22.02382,20.93436,20.59526,20.43016,20.1511,1.089453,0.3391037,0.165102,0.2790546,STAR,F8V (G_243-63),0.0005518871,55588,1,1,0,1,186.004037359,0.760091148307681
21.49894,20.46692,20.09953,19.95429,20.0191,1.032021,0.3673801,0.1452446,-0.06481171,STAR,F3/F5V (30743),-0.000554509,56337,1,1,0,1,202.525028597279,29.4707405822597
19.08295,18.3768,18.02192,17.91953,17.91453,0.7061501,0.3548813,0.102396,0.004999161,STAR,A0,0.0006275557,54848,1,1,0,1,153.33742189444,18.1710274549966
15.49075,14.40113,14.14586,14.07505,14.08314,1.089617,0.2552671,0.07081699,-0.008089066,STAR,F5,-1.029591e-05,53350,1,1,0,1,53.2072873987462,-0.561896062675893
15.41344,14.07778,13.72266,13.59429,13.59831,1.335666,0.3551149,0.1283722,-0.004018784,STAR,F9,-0.0001962002,54271,1,1,0,1,323.839125098105,72.5924074455593
18.42732,17.52489,17.29582,17.20589,17.19446,0.9024239,0.2290764,0.08992767,0.01143074,STAR,F0IV (81937),-0.0001964082,58199,1,1,0,1,230.168604688232,36.1907962859497
18.67822,17.78712,17.60719,17.52983,17.49084,0.8910961,0.1799335,0.07735443,0.03899574,STAR,A2II (39866),0.0002405691,58930,1,1,0,1,139.073217323689,-0.856065696745971
15.6658,14.68429,14.61726,14.66606,14.74726,0.9815121,0.06702995,-0.04879475,-0.08119869,STAR,G0,-0.0002081559,53917,1,1,0,1,335.55279450017,68.543422815261
19.91328,19.06656,18.74733,18.66786,18.67802,0.8467197,0.3192329,0.07947159,-0.01016617,STAR,F3/F5V (30743),0.0001560076,55957,1,1,0,1,155.448901758577,10.5671096354746
17.87769,16.38763,15.80511,15.55261,15.43681,1.490057,0.5825243,0.2524996,0.1157951,STAR,F9,-7.124837e-05,54821,1,1,0,1,124.776478993875,47.1839731053044
19.49102,18.05405,17.5342,17.34169,17.23779,1.436974,0.5198479,0.1925106,0.1038933,STAR,K1,-2.67885e-05,54414,1,1,0,1,319.209990753877,-7.14888314701454
19.76261,18.65722,18.43924,18.34777,18.35243,1.105385,0.2179832,0.091465,-0.004653931,STAR,F3/F5V (30743),0.0003559472,55889,1,1,0,1,123.156400864916,0.549359233941626
16.49857,15.38344,15.2198,15.19871,15.22239,1.115125,0.1636457,0.02108669,-0.02368641,STAR,A0,0.000197118,54507,1,1,0,1,118.390587202464,22.7234280794005
19.23241,18.19123,17.88276,17.73018,17.70149,1.041183,0.3084679,0.1525803,0.02869034,STAR,F3/F5V (30743),0.0001209028,57461,1,1,0,1,141.459794601585,38.5667430894197
16.94668,15.8043,15.52758,15.46877,15.42769,1.142376,0.2767162,0.058815,0.04107666,STAR,G2,-7.299962e-05,53883,1,1,0,1,286.677582525213,38.9107428024681
20.14563,17.64827,16.38372,15.8227,15.49453,2.497362,1.264547,0.5610247,0.328167,STAR,K7,-1.257129e-05,52581,1,1,0,1,4.62546802772158,1.19629794260859
21.41934,20.11072,19.53689,19.34337,19.28038,1.30862,0.5738258,0.1935234,0.0629921,STAR,G2,-0.0003973675,54153,1,1,0,1,187.22228042401,-0.284701601349877
19.61134,17.32596,16.34516,16.00817,15.81504,2.285376,0.9808025,0.3369884,0.1931267,STAR,K5,8.753208e-06,52873,1,1,0,1,5.70437936271924,0.593471087073084
20.79799,18.63544,17.5518,17.10745,16.8573,2.162548,1.083639,0.4443512,0.250145,STAR,K5,2.449837e-05,53771,1,1,0,1,152.770112741876,36.1124829183058
18.47745,17.47392,17.17188,17.0703,17.00208,1.003525,0.3020382,0.1015797,0.06822205,STAR,F5,-0.0004827626,52370,1,1,0,1,226.104503407525,54.3270928195592
18.78766,17.27097,16.72034,16.50529,16.39266,1.516697,0.5506306,0.2150459,0.112627,STAR,F9,-0.000172312,54537,1,1,0,1,180.159647757154,50.4721208351035
23.21853,22.23503,20.77315,19.65604,19.11824,0.9835052,1.461876,1.117107,0.5378056,STAR,M4.5:III (123657),7.171946e-05,57544,1,1,0,1,240.357876498263,51.6998877049154
20.28009,19.39447,19.10801,19.03392,19.02056,0.8856144,0.2864647,0.07408905,0.01335907,STAR,A0,-0.0006276343,53764,1,1,0,1,39.0560011964896,26.4406377094088
17.92168,16.94689,16.65674,16.5362,16.53964,0.9747849,0.2901554,0.1205368,-0.003437042,STAR,F5,0.0005598373,54552,1,1,0,1,181.425212689163,-0.148793136970158
23.27652,20.3138,18.93382,17.83205,17.24564,2.962727,1.379978,1.10177,0.5864029,STAR,M4.5:III (123657),1.720539e-05,56776,1,1,0,1,197.891657072219,46.7340005117886
20.25936,19.06028,19.10545,19.2091,19.32483,1.199087,-0.04516983,-0.1036568,-0.1157322,STAR,A0,0.0001318004,52400,1,1,0,1,215.244129691309,-1.72776550822128
20.67604,19.85077,19.61973,19.48153,19.50909,0.8252678,0.2310429,0.1382008,-0.02756119,STAR,F5,-0.0004921603,54176,1,1,0,1,182.504420324432,41.2080671328987
23.02087,20.62526,19.48001,19.00807,18.69033,2.395613,1.145254,0.4719315,0.3177414,STAR,K5,0.0002090023,54153,1,1,0,1,185.220273372709,0.688933928065773
20.55346,19.67193,19.40396,19.30341,19.29714,0.8815269,0.2679653,0.1005573,0.006269455,STAR,F5,-0.0003463126,52263,1,1,0,1,73.0401130497257,-0.663017292421276
18.74549,17.89328,17.55297,17.41352,17.37358,0.8522167,0.3403053,0.1394539,0.03993988,STAR,F3/F5V (30743),-0.0006851548,55327,1,1,0,1,185.001255510948,0.0697238291079429
